Date,Open,High,Low,Last,Close,Volume,Turnover
2000-06-05,30.67,30.67,22.67,22.82,23.49,112642,28.5
2000-06-06,24,25.33,22.29,25.33,24.68,63248,15.12
2000-06-07,25.3,25.32,22.93,23.47,23.35,42278,9.94
2000-06-08,23.73,24,23.33,23.73,23.67,13650,3.22
2000-06-09,24,24,23.33,23.73,23.65,11550,2.73
2000-06-12,24.27,24.27,22.53,23.19,23.07,18450,4.25
2000-06-13,22.81,23.2,21.87,21.92,22.08,21255,4.84
2000-06-14,22.87,23.17,22.67,22.93,22.77,4658,1.06
2000-06-15,23.17,24,23.17,23.97,23.8,19192,4.53
2000-06-16,25.2,25.47,24.68,25.07,24.99,16882,4.22
2000-06-19,26,26,25.1,25.65,25.44,17190,4.4
2000-06-20,25.87,26.67,25.47,25.75,26.49,24570,6.43
2000-06-21,26.8,26.96,24.7,24.93,25.1,12562,3.23
2000-06-22,25.33,25.33,24.93,24.93,24.93,2700,0.68
2000-06-23,24.67,25.07,24.4,24.4,24.42,6188,1.52
2000-06-26,24.47,24.47,23.75,24.4,24.41,11640,2.81
2000-06-27,24.13,24.13,23.01,23.84,23.36,11550,2.73
2000-06-28,22.93,23.33,22.53,23.32,22.96,12795,2.93
2000-06-29,23.33,24.27,23.33,23.92,23.92,18982,4.52
2000-06-30,23.71,23.73,23.33,23.33,23.35,9000,2.11
2000-07-03,23.72,24,23.4,24,23.95,7320,1.74
2000-07-04,23.87,24,23.61,23.63,23.83,7972,1.9
2000-07-05,23.99,24,22,23.2,23.25,8032,1.88
2000-07-06,22.4,23.33,22.4,23.16,23.16,3338,0.76
2000-07-07,23.13,24,23.08,24,23.48,12555,2.93
2000-07-10,23.99,24.52,23.23,23.73,23.64,6900,1.64
2000-07-11,23.2,24,23.2,23.66,23.54,11655,2.75
2000-07-12,24.03,24.03,23.48,23.61,23.73,3638,0.87
2000-07-13,22.67,23.6,22.67,23.33,23.33,9060,2.12
2000-07-14,23.47,23.47,23,23,23,3450,0.8
2000-07-17,23,23.13,22.67,23.05,23.05,13132,3.02
2000-07-18,22.15,22.64,21.73,21.73,21.9,8445,1.86
2000-07-19,22.53,23.2,21.9,21.91,21.91,3382,0.75
2000-07-20,22.05,22.07,21.87,22,22,10688,2.35
2000-07-21,21.87,21.87,21.67,21.68,21.68,2625,0.57
2000-07-24,21.6,21.6,20.33,20.33,20.33,9630,2.01
2000-07-25,18.95,21.87,18.95,21.86,21.83,12052,2.47
2000-07-26,20.93,21.59,20.93,21.59,21.59,3382,0.72
2000-07-27,22.67,22.67,21.6,22.13,22.13,7118,1.56
2000-07-28,23.07,23.2,22,22,22,6368,1.42
2000-07-31,21.47,22,21.33,21.47,21.47,7762,1.68
2000-08-01,21.2,21.47,20.13,20.13,20.19,8250,1.72
2000-08-02,20.8,21.33,20.67,21.04,20.72,2888,0.6
2000-08-03,21.67,21.71,20.56,20.56,20.61,9518,2
2000-08-04,20.87,21.04,20.41,20.93,20.74,3712,0.77
2000-08-07,20.93,20.93,20.04,20.4,20.2,4845,0.99
2000-08-08,20.92,20.92,19.53,20.2,20.06,6000,1.2
2000-08-09,20.47,20.53,19.67,20.3,20.3,3000,0.61
2000-08-10,20.27,20.27,18.93,19.44,19.04,13695,2.68
2000-08-11,19.89,20,17.71,18.67,18.43,10612,1.97
2000-08-14,17.7,18.67,17.33,18.67,18.44,6322,1.13
2000-08-16,17.73,18.52,17.33,17.33,17.42,4192,0.74
2000-08-17,17.87,17.87,16.37,16.67,16.52,11715,1.99
2000-08-18,16.67,16.67,16.4,16.53,16.53,12660,2.11
2000-08-21,16.65,16.65,15.47,15.47,15.49,5535,0.87
2000-08-22,15.47,15.47,14.87,15.27,15.11,19470,2.95
2000-08-23,15.21,16.33,15.2,16.27,16.31,11482,1.85
2000-08-24,16.15,17.61,16.13,17.2,17.23,24825,4.18
2000-08-25,17.33,18,16.67,16.67,17.08,10628,1.82
2000-08-28,16.67,17.04,16.13,16.13,16.33,12525,2.07
2000-08-29,16.27,16.93,16,16,16.1,25350,4.18
2000-08-30,17.07,17.07,16,16.27,16.27,4530,0.73
2000-08-31,16.17,16.4,16,16,16.12,4688,0.76
2000-09-04,15.87,15.93,15.33,15.6,15.6,5775,0.89
2000-09-05,15.33,15.6,14.53,15.47,15.48,4778,0.73
2000-09-06,15.6,16.46,15.33,16.25,16.24,15202,2.4
2000-09-07,16.53,17,16.4,16.67,16.62,10800,1.81
2000-09-08,16.67,16.67,16.2,16.27,16.27,7560,1.24
2000-09-11,16.53,17.33,15.87,16,16.15,22598,3.7
2000-09-12,16.13,16.13,15.4,15.4,15.58,20032,3.13
2000-09-13,16.27,16.83,15.76,16.47,16.03,102810,16.87
2000-09-14,16.6,16.67,16.11,16.35,16.46,19200,3.16
2000-09-15,16.15,16.33,15.33,15.73,15.65,33278,5.21
2000-09-18,14.94,15.33,14.48,14.48,14.61,16358,2.42
2000-09-19,14,15.27,13.6,14.67,14.6,52650,7.71
2000-09-20,14.8,15.2,14.67,14.93,14.93,88612,13.02
2000-09-21,14.67,14.93,14.47,14.47,14.47,35595,5.21
2000-09-22,14.4,14.53,13.6,14,13.98,44662,6.33
2000-09-25,14.27,14.27,13.33,13.34,13.34,86902,11.75
2000-09-26,14,14,13.33,13.33,13.33,136305,18.21
2000-09-27,13.98,14.39,13.36,14.39,14.34,20438,2.85
2000-09-28,15.17,15.48,14.67,15.44,15.47,12255,1.84
2000-09-29,14.7,15.72,14.67,14.87,14.88,15008,2.27
2000-10-03,15.33,15.79,15.2,15.77,15.62,11888,1.82
2000-10-04,15.73,16.13,15.73,15.76,15.88,16012,2.55
2000-10-05,16.91,16.91,16,16.65,16.62,14340,2.35
2000-10-06,16.67,16.79,15.48,16.67,16.67,16088,2.66
2000-10-09,16.67,16.73,16.67,16.67,16.67,29130,4.86
2000-10-10,17.3,17.3,16.67,16.67,16.68,40538,6.76
2000-10-11,16.67,16.67,16.4,16.67,16.67,25920,4.32
2000-10-12,15.89,17.31,15.87,16.67,16.67,23550,3.95
2000-10-13,16.67,16.9,16.67,16.67,16.7,11738,1.96
2000-10-16,16.8,17.17,16.67,16.7,16.7,7012,1.18
2000-10-17,16.67,16.8,16.67,16.8,16.77,15045,2.51
2000-10-18,16.8,16.89,16.67,16.89,16.73,15300,2.55
2000-10-19,16.7,16.8,16.67,16.67,16.67,9788,1.63
2000-10-20,16.67,16.8,16.67,16.67,16.67,9712,1.62
2000-10-23,16.53,16.67,15.47,16.4,16.4,27188,4.47
2000-10-24,16,16.67,15.1,15.73,15.63,37012,6.03
2000-10-25,15.4,16.53,15.33,16.53,16.36,13425,2.13
2000-10-26,16.53,16.67,16.07,16.67,16.4,4912,0.81
2000-10-27,16.41,16.67,16.07,16.51,16.4,10125,1.66
2000-10-30,16.67,16.67,16,16.01,16.03,6825,1.1
2000-10-31,16.38,16.39,16,16,16.03,8850,1.42
2000-11-01,16.53,16.53,15.67,15.67,15.67,2325,0.37
2000-11-02,16.6,16.6,15.63,15.73,15.73,3075,0.49
2000-11-03,16.38,16.38,15.48,15.49,15.62,4748,0.74
2000-11-06,15.9,15.99,15.36,15.47,15.47,4762,0.75
2000-11-07,15.47,15.47,14.93,15,15,3262,0.49
2000-11-08,15.33,16.2,15.33,15.87,15.9,19275,3.07
2000-11-09,16.5,16.53,15.73,16.12,16.12,7245,1.17
2000-11-10,15.73,17.4,15.4,17.13,16.94,142372,23.16
2000-11-13,17.07,17.07,15.6,15.73,15.73,43178,6.81
2000-11-14,15.73,15.73,15.1,15.29,15.35,28560,4.4
2000-11-15,16.13,16.13,15.33,15.33,15.33,12195,1.89
2000-11-16,15.58,15.58,15.33,15.33,15.33,6450,0.99
2000-11-17,15.33,15.33,14.93,14.93,14.93,6225,0.94
2000-11-20,14.71,15,14.7,14.8,14.79,5700,0.85
2000-11-21,14.83,15.2,14.45,14.45,14.5,27360,4.04
2000-11-22,14.61,14.87,14.53,14.86,14.71,11662,1.71
2000-11-23,14.6,14.6,14,14.01,14.01,12735,1.82
2000-11-24,14.53,14.53,14.13,14.27,14.27,8812,1.25
2000-11-27,14.33,14.67,14.2,14.67,14.55,8182,1.18
2000-11-28,14.65,14.65,14.2,14.2,14.2,10800,1.55
2000-11-29,14.33,14.9,14.33,14.8,14.77,12338,1.81
2000-11-30,15.2,15.2,14.54,14.57,14.59,2812,0.41
2000-12-01,14.6,14.67,14.6,14.67,14.67,12412,1.82
2000-12-04,14.33,14.58,14.31,14.48,14.48,8025,1.16
2000-12-05,14.66,14.66,14.03,14.07,14.05,44092,6.22
2000-12-06,14.47,14.67,14.13,14.27,14.27,11625,1.66
2000-12-07,14.27,14.31,14.03,14.2,14.2,4350,0.62
2000-12-08,14.27,14.33,14.11,14.11,14.15,9000,1.28
2000-12-11,14.13,14.27,14.03,14.03,14.08,12038,1.7
2000-12-12,14.03,14.2,14.01,14.13,14.06,16650,2.34
2000-12-13,14.64,14.65,14.16,14.27,14.27,44888,6.44
2000-12-14,14.64,14.66,14.4,14.43,14.43,32752,4.75
2000-12-15,14.4,14.53,14.08,14.08,14.08,10125,1.44
2000-12-18,13.55,14.03,13.55,14.01,14.01,17288,2.42
2000-12-19,14.13,14.13,14.01,14.01,14.05,47512,6.66
2000-12-20,14.01,14.33,14.01,14.07,14.07,10125,1.43
2000-12-21,14.01,14.03,14.01,14.01,14.01,14850,2.08
2000-12-22,14.01,14.13,14.01,14.01,14.01,5850,0.82
2000-12-26,14.25,14.27,14,14.27,14.05,56842,7.97
2000-12-27,14.67,14.67,14.02,14.02,14.22,2625,0.37
2000-12-28,14.07,14.39,14.01,14.15,14.15,4125,0.58
2000-12-29,14.09,14.27,14.08,14.27,14.27,5250,0.74
2001-01-01,14.13,14.16,14.01,14.13,14.13,10125,1.42
2001-01-02,14.07,14.27,14.01,14.07,14.06,7425,1.05
2001-01-03,14.26,14.26,14.07,14.24,14.24,9300,1.32
2001-01-04,14.11,14.24,14.07,14.13,14.13,7455,1.05
2001-01-05,14.11,14.11,14.07,14.07,14.07,1875,0.26
2001-01-08,14.1,14.1,14.01,14.01,14.01,14438,2.02
2001-01-09,14.31,14.31,14.01,14.24,14.24,10275,1.44
2001-01-10,14.03,14.11,14.01,14.11,14.11,3000,0.42
2001-01-11,14.01,14.12,14.01,14.09,14.09,13695,1.92
2001-01-12,14.13,14.13,14.07,14.11,14.11,3562,0.5
2001-01-15,14.03,14.13,14.01,14.01,14.01,5805,0.81
2001-01-16,14.03,14.07,14.01,14.01,14.01,16208,2.27
2001-01-17,14.01,14.13,14.01,14.02,14.02,5700,0.8
2001-01-18,14.02,14.13,14.01,14.01,14.01,6375,0.9
2001-01-19,14.01,14.39,14.01,14.24,14.21,17332,2.44
2001-01-22,14.01,14.12,14.01,14.12,14.06,16312,2.29
2001-01-23,14.01,14.13,14.01,14.02,14.04,36525,5.12
2001-01-24,14,14.1,14,14.01,14.01,66398,9.31
2001-01-25,14.02,14.13,14.01,14.01,14.01,15412,2.16
2001-01-29,14.01,14.63,14.01,14.01,14.01,17902,2.51
2001-01-30,14.01,14.16,14.01,14.02,14.02,16762,2.35
2001-01-31,14.01,14.37,14.01,14.15,14.15,12278,1.73
2001-02-01,14.64,14.69,14.03,14.03,14.04,14018,1.98
2001-02-02,14.1,14.29,14.1,14.24,14.27,3780,0.54
2001-02-05,14.03,14.16,14.01,14.16,14.09,7350,1.03
2001-02-06,14.03,14.13,14.01,14.02,14.02,89438,12.54
2001-02-07,14.02,14.09,14.01,14.09,14.09,15375,2.16
2001-02-08,14.03,14.38,14.03,14.2,14.16,28942,4.1
2001-02-09,14.01,14.4,14.01,14.33,14.31,17775,2.54
2001-02-12,14.15,14.33,14.15,14.16,14.16,16200,2.3
2001-02-13,14.33,14.4,14.27,14.28,14.28,34950,5
2001-02-14,14.45,14.83,14.45,14.78,14.69,18608,2.72
2001-02-15,14.85,15.2,14.85,14.92,14.92,9600,1.44
2001-02-16,15.07,15.07,14.87,14.95,14.95,7732,1.16
2001-02-19,15.07,15.3,14.93,15.13,15.11,27098,4.06
2001-02-20,15.36,15.87,15.36,15.87,15.67,34762,5.39
2001-02-21,16.13,16.47,15.89,16.27,16.16,28410,4.59
2001-02-22,15.87,16.36,15.87,16.27,16.17,38678,6.27
2001-02-23,15.91,15.92,15.73,15.73,15.73,32715,5.15
2001-02-26,15.73,15.93,15.73,15.82,15.82,17258,2.72
2001-02-27,15.73,15.93,15.73,15.73,15.76,38422,6.05
2001-02-28,15.8,16.67,15.8,16.27,16.26,126638,20.07
2001-03-01,16.53,17.33,16.07,16.07,16.07,20062,3.24
2001-03-02,16.53,16.67,16.07,16.07,16.07,14408,2.33
2001-03-05,16.07,16.27,15.6,15.6,15.6,43072,6.83
2001-03-07,15.61,16.36,15.6,15.6,15.6,66488,10.38
2001-03-08,15.73,15.73,14.77,14.77,14.88,8895,1.37
2001-03-09,14.67,15.59,13.69,14.27,14.24,5108,0.72
2001-03-12,14.37,14.53,13.6,13.6,13.64,9202,1.29
2001-03-13,12.56,14.53,12.56,13.6,13.6,11692,1.54
2001-03-14,13.47,14.25,12.8,12.8,12.88,3382,0.44
2001-03-15,13.32,13.47,12.93,13.47,13.47,4538,0.6
2001-03-16,13.2,13.2,12.95,13.2,13.2,9120,1.2
2001-03-19,13.33,13.33,12.27,13.33,13.33,3450,0.44
2001-03-20,13.07,13.07,12.54,13.07,12.87,7238,0.93
2001-03-21,13.47,13.47,13.47,13.47,13.47,750,0.1
2001-03-22,12.7,12.7,12.67,12.67,12.67,1875,0.24
2001-03-23,12.67,12.67,11.87,11.87,11.96,2250,0.27
2001-03-26,11.07,12.91,11,12.67,12.42,16725,1.9
2001-03-27,12,12.53,11.63,12.13,12.13,8580,1.03
2001-03-28,12.4,12.53,11.47,12.13,12.13,5250,0.63
2001-03-29,11.23,12.53,11.22,12.16,12.16,4425,0.53
2001-03-30,11.77,12.2,11.73,12.2,12.2,7088,0.85
2001-04-02,11.73,11.73,11.24,11.24,11.4,2250,0.26
2001-04-03,12,12,11.23,12,11.58,2940,0.34
2001-04-04,11.6,11.6,11.2,11.6,11.6,1312,0.15
2001-04-06,11.73,11.73,11.6,11.73,11.73,4575,0.53
2001-04-09,11.72,11.72,10.82,11.6,11.6,1628,0.18
2001-04-10,11.33,11.33,10.67,10.8,10.8,4650,0.51
2001-04-11,10.67,11.3,10,10.8,10.51,8145,0.84
2001-04-12,10.07,10.33,9.8,10.27,10.27,5520,0.56
2001-04-16,10.67,11.07,9.48,10.02,10.36,12158,1.21
2001-04-17,10.31,10.32,9.87,9.87,9.94,7388,0.74
2001-04-18,10.53,10.53,10.27,10.27,10.36,5858,0.61
2001-04-19,10.54,11.07,10.33,10.93,10.77,8100,0.86
2001-04-20,10.53,11.47,10.52,11.47,11.33,3525,0.39
2001-04-23,11.47,12,11.33,11.65,11.65,2888,0.33
2001-04-24,11.8,12,11.2,11.2,11.49,6562,0.76
2001-04-25,11.33,12.13,11.33,11.67,11.67,4312,0.5
2001-04-26,12,12,11.87,11.93,11.93,825,0.1
2001-04-27,11.73,11.73,11.2,11.6,11.6,2062,0.23
2001-04-30,11.87,11.87,10.96,10.96,10.96,3022,0.34
2001-05-02,10.96,11.84,10.96,11.33,11.33,1200,0.13
2001-05-03,10.73,11.05,10.43,10.43,10.59,8872,0.93
2001-05-04,10.41,10.65,10.39,10.53,10.57,3262,0.34
2001-05-07,10.64,10.64,10,10.55,10.48,7800,0.81
2001-05-08,10.4,10.4,9.93,9.93,9.93,3465,0.35
2001-05-09,10.52,10.52,9.97,9.97,9.97,2288,0.23
2001-05-10,10,10,9.2,9.4,9.36,11888,1.12
2001-05-11,9.6,9.95,9.13,9.13,9.24,12038,1.13
2001-05-14,9.36,9.37,9.07,9.07,9.07,5025,0.46
2001-05-15,8.47,8.8,8.4,8.8,8.52,14535,1.23
2001-05-16,8.03,8.8,8,8.67,8.67,16642,1.39
2001-05-17,9,9,8.67,8.8,8.8,11910,1.05
2001-05-18,8.73,8.91,8.67,8.67,8.67,2280,0.2
2001-05-21,8.55,8.91,8.55,8.9,8.8,9938,0.86
2001-05-22,8.41,8.67,8.29,8.67,8.56,10508,0.89
2001-05-23,8.93,9.13,8.9,9.13,9.09,8535,0.77
2001-05-24,9.07,9.33,9.02,9.32,9.29,5288,0.48
2001-05-25,9.2,9.47,8.96,9.47,9.47,5205,0.48
2001-05-28,9.69,9.7,9.36,9.64,9.55,5078,0.48
2001-05-29,9.35,9.73,9.33,9.48,9.51,12090,1.15
2001-05-30,9.73,9.85,9.73,9.73,9.73,2025,0.2
2001-05-31,9.6,9.8,9.36,9.8,9.76,4275,0.41
2001-06-01,9.87,9.87,9.64,9.64,9.64,3450,0.34
2001-06-04,9.71,9.85,9.71,9.74,9.74,2138,0.21
2001-06-05,9.6,9.73,9.41,9.47,9.47,12075,1.16
2001-06-06,9.53,9.87,9.53,9.73,9.73,8062,0.78
2001-06-07,9.4,9.44,9.2,9.3,9.33,7050,0.66
2001-06-08,9.33,9.33,9.15,9.15,9.15,3488,0.32
2001-06-11,9.2,9.2,8.87,8.93,8.93,3218,0.3
2001-06-12,9.24,9.27,9.15,9.27,9.22,3922,0.36
2001-06-13,9.26,9.27,9,9,9.09,3750,0.34
2001-06-14,9.33,9.4,9.27,9.4,9.4,1575,0.15
2001-06-15,9.51,9.52,8.98,8.98,8.98,2738,0.26
2001-06-18,9.46,9.46,9.46,9.46,9.46,375,0.04
2001-06-19,9.56,9.56,9.1,9.12,9.13,2700,0.25
2001-06-20,9.33,9.33,9.33,9.33,9.33,375,0.04
2001-06-21,9.07,9.17,8.74,8.8,9.09,3758,0.34
2001-06-22,9.03,9.03,8.67,8.67,8.67,1208,0.11
2001-06-25,8.48,8.48,8,8,8.01,7830,0.64
2001-06-26,7.52,8.25,7.46,8,7.8,10238,0.79
2001-06-27,8.4,8.4,7.83,7.83,7.83,2250,0.18
2001-06-28,8.25,8.25,7.8,7.8,7.8,1132,0.09
2001-06-29,7.8,8,7.33,7.8,7.73,7208,0.55
2001-07-02,8.33,8.35,8,8,8,600,0.05
2001-07-03,7.55,7.55,7.54,7.54,7.54,938,0.07
2001-07-04,8.27,8.27,8.27,8.27,8.27,375,0.03
2001-07-05,8.79,8.8,8.4,8.67,8.55,4102,0.35
2001-07-06,8.87,8.87,8.43,8.8,8.64,2738,0.24
2001-07-09,8.6,8.65,8.2,8.65,8.65,1282,0.11
2001-07-10,8.56,8.79,8.56,8.77,8.77,795,0.07
2001-07-11,8.54,8.54,8.53,8.53,8.53,2438,0.21
2001-07-12,8.21,8.65,8.21,8.24,8.6,202,0.02
2001-07-13,8,8.5,8,8.4,8.35,3420,0.29
2001-07-16,7.87,8.5,7.87,8.48,8.48,870,0.07
2001-07-17,8.01,8.53,8,8.53,8.53,10500,0.87
2001-07-18,7.89,8.22,7.87,7.87,7.93,2370,0.19
2001-07-19,8.13,8.13,8.13,8.13,8.13,375,0.03
2001-07-20,7.61,7.61,7.61,7.61,7.61,750,0.06
2001-07-23,7.47,8.24,7.47,7.51,7.51,82,0.01
2001-07-24,8,8,8,8,8,1500,0.12
2001-07-25,7.5,8,7.47,7.77,7.72,2228,0.17
2001-07-26,7.15,7.47,7.15,7.33,7.33,1515,0.11
2001-07-27,7.2,7.2,6.81,6.81,7.02,4050,0.28
2001-07-30,7.45,7.45,6.48,7.07,7.07,3458,0.24
2001-07-31,6.67,6.67,6.67,6.67,6.67,2985,0.2
2001-08-01,6.8,7.07,6.8,7.04,7.03,8032,0.55
2001-08-02,6.8,7.07,6.8,7.07,7.04,5002,0.34
2001-08-03,7.28,7.28,6.87,7.03,7.01,1695,0.12
2001-08-06,6.67,6.78,6.67,6.78,6.78,1500,0.1
2001-08-07,7.4,7.4,6.81,6.81,6.85,5212,0.36
2001-08-08,6.93,6.93,6.93,6.93,6.93,38,0
2001-08-09,6.8,6.93,6.8,6.92,6.91,3968,0.27
2001-08-10,7.06,7.2,7.06,7.2,7.2,1125,0.08
2001-08-13,6.82,7.15,6.81,7.15,7.15,5408,0.37
2001-08-14,7.07,7.2,7.07,7.2,7.2,1875,0.13
2001-08-16,7.45,7.45,7.45,7.45,7.45,225,0.02
2001-08-17,7.33,7.48,7.14,7.48,7.48,8280,0.61
2001-08-20,7.1,7.32,7.07,7.07,7.07,6645,0.48
2001-08-21,7.07,7.07,7.07,7.07,7.07,562,0.04
2001-08-23,7.25,7.25,7.13,7.13,7.13,638,0.05
2001-08-24,7.13,7.21,7.13,7.21,7.21,1635,0.12
2001-08-27,7.23,7.32,7.23,7.32,7.32,1298,0.09
2001-08-28,7.3,7.3,7.04,7.26,7.12,1875,0.13
2001-08-29,7.27,7.33,7.2,7.33,7.33,3375,0.25
2001-08-30,7.44,7.48,7.39,7.47,7.47,2730,0.2
2001-08-31,7.21,7.21,7.08,7.08,7.12,1155,0.08
2001-09-03,7.17,7.27,7.17,7.27,7.27,750,0.05
2001-09-04,6.68,7.37,6.68,7.32,7.32,9675,0.7
2001-09-05,7.33,7.34,7.33,7.33,7.33,772,0.06
2001-09-06,7.05,7.05,7.05,7.05,7.05,188,0.01
2001-09-07,7.73,7.73,7.73,7.73,7.73,8,0
2001-09-10,7.33,7.36,7.25,7.36,7.36,11625,0.85
2001-09-11,7.12,7.24,7.12,7.2,7.23,832,0.06
2001-09-12,7.11,7.26,6.99,7,7,645,0.05
2001-09-13,7,7.23,7,7.23,7.08,1875,0.13
2001-09-14,6.8,6.9,6.8,6.8,6.8,3600,0.25
2001-09-17,6.8,6.8,6.27,6.4,6.4,3075,0.2
2001-09-18,6.4,6.4,5.89,5.89,5.89,900,0.05
2001-09-19,6.43,6.45,6.25,6.33,6.32,1170,0.08
2001-09-20,6.53,6.53,5.88,5.93,6.02,1680,0.1
2001-09-21,6.25,6.25,5.61,5.61,5.65,5918,0.34
2001-09-24,5.44,5.73,5.44,5.67,5.67,2490,0.14
2001-09-25,5.8,5.8,5.55,5.55,5.55,750,0.04
2001-09-26,6.1,6.52,6.07,6.52,6.4,7545,0.48
2001-09-27,6.67,6.67,6.67,6.67,6.67,375,0.02
2001-09-28,6.93,7.4,6.93,7.35,7.3,6075,0.44
2001-10-01,7.53,7.6,7.29,7.29,7.3,8595,0.64
2001-10-03,7.69,7.87,7.53,7.75,7.75,9750,0.75
2001-10-04,7.67,7.98,7.67,7.88,7.88,1328,0.1
2001-10-05,8,8.13,8,8.13,8.13,1500,0.12
2001-10-08,8.12,8.13,8.12,8.13,8.13,1725,0.14
2001-10-09,8.13,8.13,8.13,8.13,8.13,75,0.01
